"","beeid","datetime","time","thoraxtemp","second","minute","start_time","elapse_sec","elapse_min"
"148","w09",2010-01-17 17:34:01,17:34:01,15.33,0,0s,63241,0,0
"149","w09",2010-01-17 17:34:32,17:34:32,18.21,31,31s,63241,31,0.516666666666667
"150","w09",2010-01-17 17:35:08,17:35:08,20.31,36,36s,63241,67,1.11666666666667
"151","w09",2010-01-17 17:35:32,17:35:32,21.59,24,24s,63241,91,1.51666666666667
"152","w09",2010-01-17 17:36:02,17:36:02,23.09,30,30s,63241,121,2.01666666666667
"153","w09",2010-01-17 17:36:33,17:36:33,24.4,31,31s,63241,152,2.53333333333333
"154","w09",2010-01-17 17:37:03,17:37:03,25.17,30,30s,63241,182,3.03333333333333
"155","w09",2010-01-17 17:37:32,17:37:32,25.63,29,29s,63241,211,3.51666666666667
"156","w09",2010-01-17 17:38:02,17:38:02,26.31,30,30s,63241,241,4.01666666666667
"157","w09",2010-01-17 17:38:32,17:38:32,26.5,30,30s,63241,271,4.51666666666667
"158","w09",2010-01-17 17:39:02,17:39:02,27.52,30,30s,63241,301,5.01666666666667
"159","w09",2010-01-17 17:39:32,17:39:32,28.31,30,30s,63241,331,5.51666666666667
"160","w09",2010-01-17 17:40:02,17:40:02,29.1,30,30s,63241,361,6.01666666666667
"161","w09",2010-01-17 17:40:32,17:40:32,31.12,30,30s,63241,391,6.51666666666667
"162","w09",2010-01-17 17:41:06,17:41:06,32.56,34,34s,63241,425,7.08333333333333
"163","w09",2010-01-17 17:41:32,17:41:32,34.75,26,26s,63241,451,7.51666666666667
"164","w09",2010-01-17 17:42:02,17:42:02,35.6,30,30s,63241,481,8.01666666666667
"165","w09",2010-01-17 17:43:32,17:43:32,36.66,90,90s (~1.5 minutes),63241,571,9.51666666666667
"166","w09",2010-01-17 17:44:03,17:44:03,35.81,31,31s,63241,602,10.0333333333333
"167","w10",2010-01-17 17:45:15,17:45:15,15.06,0,0s,63915,0,0
"168","w10",2010-01-17 17:45:47,17:45:47,17.64,32,32s,63915,32,0.533333333333333
"169","w10",2010-01-17 17:46:15,17:46:15,19.37,28,28s,63915,60,1
"170","w10",2010-01-17 17:46:46,17:46:46,20.9,31,31s,63915,91,1.51666666666667
"171","w10",2010-01-17 17:47:16,17:47:16,22.53,30,30s,63915,121,2.01666666666667
"172","w10",2010-01-17 17:47:51,17:47:51,23.67,35,35s,63915,156,2.6
"173","w10",2010-01-17 17:48:16,17:48:16,23.68,25,25s,63915,181,3.01666666666667
"174","w10",2010-01-17 17:48:46,17:48:46,24.23,30,30s,63915,211,3.51666666666667
"175","w10",2010-01-17 17:49:20,17:49:20,25.54,34,34s,63915,245,4.08333333333333
"176","w10",2010-01-17 17:49:45,17:49:45,25.65,25,25s,63915,270,4.5
"177","w10",2010-01-17 17:50:17,17:50:17,26.12,32,32s,63915,302,5.03333333333333
"178","w10",2010-01-17 17:51:47,17:51:47,30.69,90,90s (~1.5 minutes),63915,392,6.53333333333333
"179","w10",2010-01-17 17:52:15,17:52:15,31.69,28,28s,63915,420,7
"180","w10",2010-01-17 17:52:45,17:52:45,31.77,30,30s,63915,450,7.5
"181","w10",2010-01-17 17:53:18,17:53:18,32.09,33,33s,63915,483,8.05
"182","w10",2010-01-17 17:53:45,17:53:45,33.16,27,27s,63915,510,8.5
"183","w10",2010-01-17 17:54:15,17:54:15,35.52,30,30s,63915,540,9
"184","w10",2010-01-17 17:54:45,17:54:45,36.51,30,30s,63915,570,9.5
"185","w10",2010-01-17 17:55:16,17:55:16,38.81,31,31s,63915,601,10.0166666666667
"186","w11",2010-01-17 17:57:42,17:57:42,15.12,0,0s,64662,0,0
"187","w11",2010-01-17 17:58:12,17:58:12,20.33,30,30s,64662,30,0.5
"188","w11",2010-01-17 17:58:42,17:58:42,23.3,30,30s,64662,60,1
"189","w11",2010-01-17 17:59:12,17:59:12,25.05,30,30s,64662,90,1.5
"190","w11",2010-01-17 17:59:43,17:59:43,25.97,31,31s,64662,121,2.01666666666667
